Date,Price
06/24/2020,136.72
06/23/2020,138.22
06/22/2020,135.69
06/19/2020,133.75
06/18/2020,132.7
06/17/2020,132.05
06/16/2020,130.76
06/15/2020,128.63
06/12/2020,127.25
06/11/2020,127.9
06/10/2020,132.37
06/09/2020,130.04
06/08/2020,126.2
06/05/2020,124.15
06/04/2020,123.03
06/03/2020,123.92
06/02/2020,123.62
06/01/2020,123.55
05/29/2020,122.12
05/28/2020,120.06
05/27/2020,120.52
05/26/2020,121.09
05/22/2020,121.84
05/21/2020,122.34
05/20/2020,124.9
05/19/2020,122.47
05/18/2020,121.31
05/15/2020,120.49
05/14/2020,119.44
05/13/2020,118.4
05/12/2020,117.85
05/11/2020,120.45
05/08/2020,118.98
05/07/2020,118.38
05/06/2020,117.56
05/05/2020,115.89
05/04/2020,115.8
05/01/2020,114.3
04/30/2020,123.7
04/29/2020,118.64
04/28/2020,115.7
04/27/2020,118.8
04/24/2020,120.51
04/23/2020,119.97
04/22/2020,118.17
04/21/2020,116.41
04/20/2020,119.68
04/17/2020,118.75
04/16/2020,120.41
04/15/2020,115.38
04/14/2020,114.17
04/13/2020,108.44
04/09/2020,102.14
04/08/2020,102.15
04/07/2020,100.58
04/06/2020,99.88
04/03/2020,95.33
04/02/2020,95.94
04/01/2020,95.39
03/31/2020,97.49
03/30/2020,98.2
03/27/2020,95
03/26/2020,97.77
03/25/2020,94.29
03/24/2020,97
03/23/2020,95.14
03/20/2020,92.3
03/19/2020,94.05
03/18/2020,91.5
03/17/2020,90.39
03/16/2020,84.46
03/13/2020,89.25
03/12/2020,83.83
03/11/2020,91.04
03/10/2020,94.59
03/09/2020,90.03
03/06/2020,95.05
03/05/2020,96.2
03/04/2020,98.79
03/03/2020,95.45
03/02/2020,97.7
02/28/2020,94.19
02/27/2020,94.22
02/26/2020,98.98
02/25/2020,98.64
02/24/2020,100.46
02/21/2020,104.8
02/20/2020,107.66
02/19/2020,108.51
02/18/2020,107.78
02/14/2020,106.74
02/13/2020,107.49
02/12/2020,108
02/11/2020,107.54
02/10/2020,106.7
02/07/2020,103.96
02/06/2020,102.51
02/05/2020,101.99
02/04/2020,102.48
02/03/2020,100.21
01/31/2020,100.44
01/30/2020,93.53
01/29/2020,92.9
01/28/2020,92.66
01/27/2020,91.42
01/24/2020,93.08
01/23/2020,94.23
01/22/2020,94.37
01/21/2020,94.6
01/17/2020,93.24
01/16/2020,93.9
01/15/2020,93.1
01/14/2020,93.47
01/13/2020,94.56
01/10/2020,94.16
01/09/2020,95.05
01/08/2020,94.6
01/07/2020,95.34
01/06/2020,95.14
