Date,Price
07/09/2019,11.94
07/08/2019,12.03
07/05/2019,12.25
07/03/2019,12.1
07/02/2019,11.97
07/01/2019,12.04
06/28/2019,11.97
06/27/2019,12.02
06/26/2019,11.72
06/25/2019,11.58
06/24/2019,11.66
06/21/2019,11.7
06/20/2019,11.82
06/19/2019,11.73
06/18/2019,11.6
06/17/2019,11.4
06/14/2019,11.45
06/13/2019,11.54
06/12/2019,11.49
06/11/2019,11.72
06/10/2019,11.63
06/07/2019,11.54
06/06/2019,11.6
06/05/2019,11.71
06/04/2019,11.74
06/03/2019,11.3
05/31/2019,11.27
05/30/2019,11.44
05/29/2019,11.47
05/28/2019,11.52
05/24/2019,11.64
05/23/2019,11.54
05/22/2019,11.74
05/21/2019,11.9
05/20/2019,11.73
05/17/2019,11.79
05/16/2019,11.92
05/15/2019,11.86
05/14/2019,11.86
05/13/2019,11.76
05/10/2019,12.33
05/09/2019,12.31
05/08/2019,12.45
05/07/2019,12.41
05/06/2019,12.69
05/03/2019,12.97
05/02/2019,13.24
05/01/2019,13.18
04/30/2019,13.3
04/29/2019,13.52
04/26/2019,13.41
04/25/2019,13.31
04/24/2019,13.2
04/23/2019,13.26
04/22/2019,13.4
04/18/2019,13.44
04/17/2019,13.6
04/16/2019,13.26
04/15/2019,12.91
04/12/2019,12.84
04/11/2019,12.44
04/10/2019,12.21
04/09/2019,12.21
04/08/2019,12.24
04/05/2019,12.24
04/04/2019,12.32
04/03/2019,12.24
04/02/2019,12.06
04/01/2019,12.03
03/29/2019,11.65
03/28/2019,11.5
03/27/2019,11.48
03/26/2019,11.45
03/25/2019,11.39
03/22/2019,11.51
03/21/2019,11.91
03/20/2019,12.01
03/19/2019,12.36
03/18/2019,12.35
03/15/2019,12.06
03/14/2019,12.03
03/13/2019,11.98
03/12/2019,11.81
03/11/2019,11.93
03/08/2019,11.75
03/07/2019,11.84
03/06/2019,12.13
03/05/2019,12.23
03/04/2019,12.42
03/01/2019,12.36
02/28/2019,12.31
02/27/2019,12.33
02/26/2019,12.19
02/25/2019,12.08
02/22/2019,11.87
02/21/2019,11.89
02/20/2019,12.02
02/19/2019,11.9
02/15/2019,11.75
02/14/2019,11.56
02/13/2019,11.99
02/12/2019,11.88
02/11/2019,11.68
02/08/2019,11.7
02/07/2019,11.84
02/06/2019,12.12
02/05/2019,12.14
02/04/2019,11.98
02/01/2019,12.01
01/31/2019,12.11
01/30/2019,12.42
01/29/2019,12.34
01/28/2019,12.35
01/25/2019,12.48
01/24/2019,12.31
01/23/2019,12.31
01/22/2019,12.2
01/18/2019,12.37
01/17/2019,12.15
01/16/2019,12.19
01/15/2019,11.88
01/14/2019,11.9
01/11/2019,11.82
01/10/2019,11.75
01/09/2019,11.56
01/08/2019,11.55
01/07/2019,11.39
01/04/2019,11.31
01/03/2019,10.95
01/02/2019,11.04
12/31/2018,10.86
12/28/2018,10.87
12/27/2018,10.67
12/26/2018,10.8
12/24/2018,10.42
12/21/2018,10.51
12/20/2018,10.53
12/19/2018,10.72
12/18/2018,10.89
12/17/2018,10.94
12/14/2018,11.1
12/13/2018,11.26
12/12/2018,11.32
12/11/2018,10.92
12/10/2018,11
12/07/2018,11.11
12/06/2018,11.33
12/04/2018,11.64
12/03/2018,12.09
11/30/2018,11.82
11/29/2018,11.93
11/28/2018,12.11
11/27/2018,11.93
11/26/2018,12.09
11/23/2018,11.79
11/21/2018,11.96
11/20/2018,11.72
11/19/2018,12.3
11/16/2018,12.38
11/15/2018,12.42
11/14/2018,12.42
11/13/2018,12.51
11/12/2018,12.49
11/09/2018,12.83
11/08/2018,12.9
11/07/2018,13.05
11/06/2018,12.79
11/05/2018,12.76
11/02/2018,12.84
11/01/2018,12.92
10/31/2018,12.93
10/30/2018,12.81
10/29/2018,12.5
10/26/2018,12.48
10/25/2018,12.46
10/24/2018,12.25
10/23/2018,12.85
10/22/2018,13.01
10/19/2018,13.14
10/18/2018,13.15
10/17/2018,13.58
10/16/2018,13.59
10/15/2018,13.52
10/12/2018,13.5
10/11/2018,13.42
10/10/2018,13.76
10/09/2018,14.04
10/08/2018,14.17
10/05/2018,14.31
10/04/2018,14.56
10/03/2018,14.67
10/02/2018,14.61
10/01/2018,14.88
09/28/2018,14.94
09/27/2018,15.39
09/26/2018,15.55
09/25/2018,15.64
09/24/2018,15.69
09/21/2018,15.94
09/20/2018,15.87
09/19/2018,15.4
09/18/2018,15.09
09/17/2018,15.06
09/14/2018,14.94
09/13/2018,14.94
09/12/2018,14.78
09/11/2018,14.93
09/10/2018,14.84
09/07/2018,14.85
09/06/2018,15.02
09/05/2018,15.09
09/04/2018,15.11
08/31/2018,14.95
08/30/2018,15.05
08/29/2018,15.25
08/28/2018,15.17
08/27/2018,15.17
08/24/2018,14.95
08/23/2018,14.88
08/22/2018,14.95
08/21/2018,15.06
08/20/2018,14.86
08/17/2018,14.81
08/16/2018,14.83
08/15/2018,14.87
08/14/2018,15.09
08/13/2018,15
08/10/2018,15.27
08/09/2018,15.67
08/08/2018,15.79
08/07/2018,15.77
08/06/2018,15.6
08/03/2018,15.79
08/02/2018,15.9
08/01/2018,16.02
07/31/2018,16.06
07/30/2018,15.84
07/27/2018,15.69
07/26/2018,15.58
07/25/2018,15.69
07/24/2018,15.68
07/23/2018,15.43
07/20/2018,15.25
07/19/2018,15.19
07/18/2018,15.27
07/17/2018,15.14
07/16/2018,15.24
07/13/2018,14.81
07/12/2018,14.81
07/11/2018,14.85
07/10/2018,15.21
07/09/2018,15.35
07/06/2018,15.03
07/05/2018,15
07/03/2018,14.87
07/02/2018,14.85
06/29/2018,14.88
06/28/2018,14.84
06/27/2018,14.73
06/26/2018,14.97
06/25/2018,15
06/22/2018,15.42
06/21/2018,15.02
06/20/2018,15.2
06/19/2018,15.12
06/18/2018,15.22
06/15/2018,15.42
06/14/2018,15.68
06/13/2018,15.69
06/12/2018,15.78
06/11/2018,15.87
06/08/2018,15.39
06/07/2018,15.53
06/06/2018,15.58
06/05/2018,15.33
06/04/2018,15.69
06/01/2018,15.62
05/31/2018,15.4
05/30/2018,15.54
05/29/2018,15.26
05/25/2018,16.29
05/24/2018,16.32
05/23/2018,16.6
05/22/2018,16.92
05/21/2018,16.65
05/18/2018,16.63
05/17/2018,16.73
05/16/2018,16.73
05/15/2018,16.84
05/14/2018,16.88
05/11/2018,16.99
05/10/2018,16.79
05/09/2018,16.76
05/08/2018,16.52
05/07/2018,16.46
05/04/2018,16.34
05/03/2018,16.52
05/02/2018,16.61
05/01/2018,16.68
04/30/2018,16.77
04/27/2018,16.97
04/26/2018,17.16
04/25/2018,16.97
04/24/2018,16.29
04/23/2018,16.54
04/20/2018,16.56
04/19/2018,16.59
04/18/2018,16.44
04/17/2018,16.46
04/16/2018,16.37
04/13/2018,16.37
04/12/2018,16.48
04/11/2018,16.33
04/10/2018,16.53
04/09/2018,16.24
04/06/2018,16.16
04/05/2018,16.49
04/04/2018,16.3
04/03/2018,16.47
04/02/2018,16.45
03/29/2018,16.79
03/28/2018,16.58
03/27/2018,16.55
03/26/2018,16.87
03/23/2018,16.65
03/22/2018,16.9
03/21/2018,17.64
03/20/2018,18.06
03/19/2018,18.05
03/16/2018,18.25
03/15/2018,18.12
03/14/2018,18.03
